queue_id,legal_name,purpose_en,purpose,silver_sector,labeller_confidence,top3,true_sector,annotator_note
91,Pulver GmbH,"Development, trade and distribution of and with non-licensing goods, in particular seating furniture, as well as the conduct of all related business or activities, insofar as they appear to be useful for the purpose of the company or are capable of promoting the company's business.","Entwicklung, Handel und Vertrieb von und mit nicht genehmigungspflichtigen Waren, insbesondere Sitzmöbeln, ebenso die Durchführung aller damit zusammenhängenden Geschäfte oder Handlungen, soweit sie zur Erreichung des Gesellschaftszweckes dienlich erscheinen oder die Unternehmung der Gesellschaft zu fördern geeignet sind.",G,low,G|S|I,,
93,E.A.S Culture & Consultant GmbH,"trade, advice, organisation and coordination of education and training or academic and cultural exchange programmes, in particular in the field of youth exchanges between China and Europe, in particular school trips and youth camps. The company may also provide tailor-made services for adult travel groups. The company is also active in the field of brokering and supporting business contacts between China and Europe, as well as student exchange and teacher training. The company is also active in import and export, sales and trade of teaching materials, import and export, distribution and trade of all kinds of goods and is allowed to provide all related ancillary transactions. The company also deals with event management, training management and the operation of an artist agency. The company may carry out transactions of any kind which serve or supplement the object of the company directly or indirectly.","der Handel, die Beratung, die Organisation und Koordination von Aus- und Weiterbildung oder akademischen und kulturellen Austauschprogrammen, insbesondere im Bereich des Jugendaustauschs zwischen China und Europa insbesondere Klassenfahrten und Jugendcamps. Die Gesellschaft darf auch maßgeschneiderte Dienstleistungen für erwachsene Reisegruppen durchführen. Die Gesellschaft ist ferner tätig auf dem Gebiet der Vermittlung und Betreuung von Geschäftskontakten zwischen China und Europa, sowie dem Studentenaustausch und der Lehrerausbildung. Die Gesellschaft ist zudem tätig im Im- und Export, dem Vertrieb und Handel mit Lehrmittel sowie Im- und Export, Vertrieb und Handel von Waren aller Art und darf alle damit im Zusammenhang stehenden Nebengeschäfte erbringen. Gegenstand des Unternehmens sind auch Eventmanagement, Ausbildungsmanagement sowie der Betrieb einer Künstleragentur. Die Gesellschaft darf Geschäfte jeder Art durchführen, die dem Unternehmensgegenstand unmittelbar oder mittelbar dienen oder diesen ergänzen.",N,high,G|U|J,,
96,UED-Dienstleistungs Aktiengesellschaft,"The mediation of German-European consumer goods, tourism, financial and telecommunications services.","Die Vermittlung von deutscheuropäischen Konsumgütern, Touristik-, Finanz- und Telekommunikationsdienstleistungen.",G,low,G|I|H,,
100,Westend Verlags- und Werbegesellschaft mbH,"The publication and publishing of periodicals, other publications and electronic media as well as the operation of an agency for advertising and promotion and the performance and placement of similar or similar transactions and related services.","Die Herausgabe und der Verlag von Zeitschriften, sonstigen Publikationen und elektronischen Medien sowie der Betrieb einer Agentur für Werbung und Verkaufsförderung und die Vornahme und Vermittlung gleichartiger oder ähnlicher Geschäfte und damit zusammenhängeder Leistungen.",J,high,G|J|M,,
101,Fliesen Höning Verwaltungs- und Beteiligungs-GmbH,"the taking over of the position of the personally liable and entitled to the management of the company in Kalies Höning GmbH & Co., KG. (c) trade in materials, accessories and tools for the laying and processing of tiles, stoneware and ceramic products; Stoneware and ceramic products. In order to achieve this purpose, the company is entitled to all transactions and legal acts which are intended, directly or indirectly, to promote the purpose of the company.","die Übernahme der Stellung der persönlich haftenden und zur Geschäftsführung berechtigten Gesellschafterin in der Fliesen Höning GmbH & Co., KG. mit dem Sitz in Billerbeck, deren Unternehmensgegenstand a) der Handel mit Fliesen, Steinzeug und Keramikprodukten, b) der Handel mit Pflegemitteln für Fliesen, Steinzeug und Keramikproduken, c) der Handel mit Material, Zuberhör und Werkzeug für die Verlegung und Verarbeitung von Fliesen, Steinzeug und Keramikprodukten, d) die Verlegung von Fliesen, Steinzeug und Keramikprodukten ist. Zur Erreichung dieses Zwecks ist die Gesellschaft zu allen Geschäften und Rechtshandlungen berechtigt, die mittelbar oder unmittelbar der Förderung des Gesellschaftszwecks dienen.",M,low,G|C|M,,
106,Verwaltungsgesellschaft RST Rostock Sugar Terminal mbH,"Takeover of administrative activities, in particular the assumption of personal liability with limited liability companies as well as the import and export, handling, packaging and storage of sugar as well as all related transactions.","Übernahme von Verwaltungstätigkeiten, insbesondere auch die Übernahme der persönlichen Haftung bei Kommanditgesellschaften sowie der Imund Export, Umschlag, Verpackung und Lagerung von Zucker sowie alle damit im Zusammenhang stehenden Geschäfte.",M,low,G|N|K,,
107,Units UG (haftungsbeschränkt),The company's focus is on adult education and early childhood education and the trade in antique furniture.,Gegenstand des Unternehmens ist Erwachsenenbildung und kindliche Früherziehung und der Handel mit Antikmöbel.,P,high,G|P|T,,
115,Huperz Kran- und Bergedienst-GmbH,"The purpose of the company is the execution of heavy transport, crane and mountain services as well as the trade in building materials.","Zweck der Gesellschaft ist die Ausführung von Schwertransporten, Kran- und Bergedienstleistungen sowie der Handel mit Baustoffen.",H,high,H|N|B,,
116,GuKe Welfare & Environmental GmbH,"Export of German quality products for the environment and child safety to China, especially goods of the highest standard of living.","Export deutscher Qualitätsprodukte für Umwelt und Kindersicherheit nach China, insbesondere Güter des gehobenen Lebensstandards.",G,low,H|G|C,,
124,Retol GmbH,Import and distribution of trade goods for the construction industry,Import und Vertrieb von Handelswaren für den Bauhandwerkerbedarf,G,high,H|G|B,,
133,Bella Vita III Verwaltungs GmbH,"Participation in other companies, in particular as a personally liable shareholder in Bella Vita III Donauwörth GmbH & Co. KG in Donauwörth, which has the operation of an ecological food business for the purpose of the company.","Beteiligung an anderen Unternehmen, insbesondere Beteiligung als persönlich haftende Gesellschafterin an der Bella Vita III Donauwörth GmbH & Co. KG in Donauwörth, welche den Betrieb eines ökologischen Lebensmittelsgeschäfts zum Gesellschaftszweck hat.",M,high,I|M|N,,
135,LupoTherm Vertrieb UG (haftungsbeschränkt),Marketing of products and services in the field of insulation and thermal insulation.,Vermarktung von Produkten und Dienstleistungen im Bereich Dämmung und thermischer Isolation.,G,high,I|G|D,,
146,EMA GmbH,"Consulting and support in digital transformation processes, visualization, marketing and e-commerce.","Die Beratung und Begleitung bei digitalen Transformationsprozessen, die Visualisierung, das Marketing und der E- Commerce.",J,low,J|M|G,,
148,NewTalents AG,"The object of the company is to offer unknown artists a platform for their presentation and their music on the company's website and to provide them with a record contract through this platform, as well as production Acquisition and exploitation of music recordings, including the acquisition and exploitation of copyright, performance and other rights in any form, such as: on phonograms or online as well as a tour of a music publishing company.","Gegenstand des Unternehmens ist es, unbekannten Künstlern eine Plattform für deren Darstellung und deren Musik auf der Webseite der Gesellschaft anzubieten und ihnen über diese Plattform einen Schallplattenvertrag zu vermitteln, ferner Produktion, Erwerb sowie Verwertung von Musikaufnahmen unter Einschluß des Erwerbs und Verwertung der diesbezüglichen Urheber-, Leistungsschutzund sonstigen Rechte in jeglicher Form, wie z.B. auf Tonträgern oder Online sowie Führung eine Musikverlages.",J,high,J|R|M,,
163,hs. Financial Products GmbH,"The management consultancy of domestic and foreign companies in the financial sector (priority asset management), the distribution of investment products (e.g. Debt securities, fund certificates, special fund mandates, index certificates), the supervision of the German clientele of foreign investment companies.","Die Unternehmensberatung von in- und ausländischen Gesellschaften im Finanzbereich (Schwerpunkt Asset Management), der Vertrieb von Anlageprodukten (z.B. Schuldverschreibungen, Fondszertifikaten, Speuialfondsmandaten, Indexzertifikaten), die Betreuung der deutschen Kundschaft ausländischer Investmentgesellschaften.",K,low,K|M|U,,
170,UKF GmbH,"Holding and managing assets, especially basic assets.","Das Halten und Verwalten von Vermögen, insbesondere Grundvermögen.",L,low,K|T|B,,
174,Bochum-Gelsenkirchener Bahngesellschaft mit beschränkter Haftung,"Holding of shares in Bochum- Gelsenkirchener Straßenbahnen Aktiengesellschaft (BOGESTRA) as well as the management of the aforementioned company via a control contract within the meaning of § 291 para. 1 sentence 1 Stock Act. The company is obliged to proceed according to the economic principles of § 109 GO NRW. In doing so, society must be guided in such a way that the public purpose is fulfilled in a sustainable manner.","Halten von Aktien an der Bochum- Gelsenkirchener Straßenbahnen Aktiengesellschaft (BOGESTRA) sowie die Leitung der vorgenannten Gesellschaft über einen Beherrschungsvertrag im Sinne des § 291 Abs. 1 Satz 1 Aktiengesetz. Die Gesellschaft ist verpflichtet, nach den Wirtschaftsgrundsätzen des § 109 GO NRW zu verfahren. Dabei ist die Gesellschaft so zu führen, dass der öffentliche Zweck nachhaltig erfüllt wird.",M,low,K|O|L,,
176,OSO Ochs Schmidhuber Objektentwicklung GmbH,"Development, acquisition and sale of all real estate properties.","Entwicklung, Erwerb und Veräußerung von sämtlichen Objekten aus dem Bereich der Immobilien.",L,high,L|T|G,,
185,UFT Verwaltung GmbH,"Acquisition and management of investments, as well as the acquisition of personal liability and management of UFT Stanz- und Schmiedeteile GmbH & Co KG; Acquisition, management, rental and leasing of land, buildings, machinery and equipment, businesses and holdings.","Erwerb und Verwaltung von Beteiligungen, sowie die Übernahme der persönlichen Haftung und der Geschäftsführung bei der Firma UFT Stanz- und Schmiedeteile GmbH & Co KG; Erwerb, Verwaltung, Vermietung und Verpachtung von Grundstücken, von Gebäuden, von Maschinen und Anlagen, von Betrieben und Beteiligungen.",M,high,L|C|K,,
197,Maurer und Klinkner Bauunternehmung GmbH,"The operation of a construction undertaking, as well as all related and corporate activities.",Der Betrieb einer Bauunternehmung sowie sämtliche damit zusammenhängenden und den Gesellschaftszweck fördernden Geschäfte.,F,high,L|F|N,,
202,Consult& SD UG (haftungsbeschränkt),"Consulting and entrepreneurship, in particular strategy consulting in the digital field, including product sales.","Consulting und Entrepreneurship, insbesondere auch die Strategieberatung im digitalen Bereich einschließlich des diesbezüglichen Produktverkaufs.",M,high,M|J|N,,
207,IT Consulting Dadkhoo UG (haftungsbeschränkt),IT consulting and training and IT & communication service.,IT Beratung und Schulung und IT & Kommunikations-Service.,J,high,M|P|N,,
219,Regniet Human Resources Services GmbH,(a) support for companies in the areas of human resources consulting and human resources development and (b) the acquisition of the Human Resources Administration division in the context of outsourcing activities in companies.,a) die Unterstützung von Unternehmen in den Bereichen Personal-Beratung und Personalentwicklung sowie für b) die Übernahme des Geschäftsbereichs Personal-Administration im Rahmen von Outsourcing-Aktivitäten in Unternehmen.,M,low,N|M|S,,
227,New Silk Road Network GmbH,"Form the connection of logistics-related and other companies and a network to promote their business, including event management.","Die Verbindung von logistikbezogenen und anderen Unternehmen und ein Netzwerk zu formen, um deren Geschäfte zu fördern, einschließlich Eventmanagement.",N,low,N|S|J,,
230,BGfD Bayreuther Gesellschaft für Datenschutz mbH,"Subject-matter amended, now: The subject-matter of the company is - the provision of services to companies or third parties in the field of data protection, insb. advice, training, the position of an external data protection officer; - the preparation and publication of data protection publications; - the provision of information on the subject of data protection, etc. via a web-based information portal.","Gegenstand geändert, nun: Gegenstand des Unternehmens ist - die Erbringung von Dienstleistungen für Unternehmen oder Dritte auf dem Gebiet des Datenschutzes, insb. die Beratung, die Durchführung von Schulungen, die Stellung eines externen Datenschutzbeauftragten; - die Erstellung und Publikation von Veröffentlichungen zum Thema Datenschutz; - die Informationsvermittlung zum Thema Datenschutz, insb. über ein webbasiertes Informationsportal.",M,low,N|J|S,,
234,BayernCare Verwaltungs GmbH,"The subject matter of the company is the acquisition and management of shareholdings as well as the assumption of personal liability and the management of commercial companies, in particular the participation as personally liable managing partner in BayernCare Immobilien GmbH & Co. KG, whose business is the acquisition, development, realization, developership and sale, rental and leasing as well as the rental of senior and service properties as well as care facilities and other senior institutions in Germany and abroad, and the participation in company management companies Placement and proof of contracts for land, rights equivalent to land, commercial premises, living spaces, preparation and execution of construction projects as a builder on his own behalf, using assets of acquirers, and the operation and participation in the operation of nursing staff. Service and seniority real estate as well as the placement of operators.","Gegenstand des Unternehmens ist der Erwerb und die Verwaltung von Beteiligungen sowie die Übernahme der persönlichen Haftung und der Geschäftsführung bei Handelsgesellschaften, insbesondere die Beteiligung als persönlich haftende geschäftsführende Gesellschafterin an der BayernCare Immobilien GmbH & Co. KG, deren Unternehmehsgegenstand ist die Akquisition, Entwicklung, Realisierung, Bauträgerschaft und der Verkauf, die Vermietung und Verpachtung sowie die Anmietung von Senioren- und Serviceimmobilien sowie Pflegeeinrichtungen und sonstigen Senioreneinrichtungen im In- und Ausland, ferner die Beteiligung an Betriebsträgergesellschaften, Vermittlung und Nachweis von Verträgen über Grundstücke, grundstücksgleiche Rechte, gewerbliche Räume, Wohnräume, Vorbereitung und Durchführung von Bauvorhaben als Bauherr im eigenen Namen unter Verwendung von Vermögenswerten von Erwerbern, ferner der Betrieb und die Beteiligung am Betrieb von Pflege-, Service- und Seniorenimmobilien sowie die Vermittlung von Betriebsträgern.",M,high,N|K|L,,
244,"Gebäudemanagement Schleswig-Holstein, Anstalt des öffentlichen Rechts Zweigniederlassung Flensburg","1. The reference date shall be 30 June 1999. On 1 June 1999 the Landesbauamten, the Landesvermögens- und Bauabteilung der Oberfinanzdirektion Kiel and the construction department of the Ministry of Finance and Energy will carry out their tasks on 1 January 1999. It shall, in so far as it does not carry out these tasks as a foreign task of the respective legal entity in accordance with paragraph 6. In particular, the institution shall have the following tasks: 1. It fulfils all the building tasks of the country within the meaning of sentence 1 and according to separate agreements also that of the federal government. 2. It undertakes the construction planning, construction supervision, client, construction entertainment and related assignment tasks for the Investment Bank, insofar as these services concern real estates that are subject to § 17 para. 2 Investment Banks Act (IBG) of 11 December 1990. ==References== Schl.-H. S. 609), as last amended by the Law of 21 December 1980. ==References== Schl.- H. S. 482) transferred from the country to the Investment Bank, or established or acquired by it, or have been established or acquired to make it available to the country. Further details are laid down in the contract. In addition, the institution can also carry out planning, building supervision, building owners, building entertainment and related procurement tasks for other public authorities. 3. It takes care of the interests of the federal government and of the state as carriers of public concerns within the meaning of § 4 of the Building Code for building plan procedures in the state area. 4. It undertakes the structural examination of the country in the field of construction when granting grants in accordance with § 44 of the Schleswig-Holstein State Budget Regulations. The more detailed rules are laid down in the statutes. 2. Unless otherwise specified by the Ministry of Finance and Energy, the institution shall perform all construction tasks, with the exception of the client's task, for 1. ==References====External links==* Official website The hospital at the Medical University of Lübeck, Germany, 3. the foundation Schleswig-Holsteinische Landesmuseen Schloß Gottorf, which have to reimburse the institution the costs incurred by the completion of the construction tasks. The execution of all construction tasks shall end in respect of the work carried out in sentence 1 No. ==References====External links== Unless an agreement is reached between the institution and the hospital concerned on the continuation of these tasks, the agreement is to be concluded on the following June. This does not affect the implementation of measures initiated. 3. The institution shall provide the following management services for the country, with the exception of higher education institutions and prisons, for the buildings used by the Ministry of Finance and Energy, unless otherwise provided on a particular case-by-case basis: 1. Housekeeping, housework and handcrafting activities, 2. ==References====External links== Security services, unless exercised by enforcement officers, 4. ==References====External links== ==References== Disposal and disposal, 7. Management of technical installations, maintenance, inspection and small repairs. The institution shall carry out the tasks referred to in the first sentence for the Ministry of Finance and Energy and the subordinate authorities to it from 01. ==References====External links==* Official website In January 2000, for the State Chancellery as well as all other ministries and the subordinate authorities, no later than 31 January 2000. ==References== The Ministry of Finance and Energy shall be empowered to determine by regulation the date of the transition of the tasks referred to in the first sentence for the respective departments, details shall govern the country and the institution by means of a public-law framework management contract. The ministries may also delegate to the institution the management of other management tasks, in particular the following services: 1. ==References====External links== ==References====External links== ==References====External links== Post administration and mail delivery services, 5. Telephone intermediation services. In accordance with separate agreements, the institution may also carry out the activities described in the first and fifth sentences in respect of other institutions of the public administration. 4. Without prejudice to paragraphs 1 to 3, the institution shall: It coordinates and meets the needs of the country and, as appropriate, separate agreements, also the needs of other public authorities for administrative buildings and other land and buildings by leasing and leasing and then leased on market terms. It can also perform this task by buying or building buildings for the account of others. As far as the land no longer needs land, the institution can also rent or lease it to third parties. 2. In accordance with separate agreements, it shall make the procurements necessary for their business operations on its own or in the foreign name for all national authorities. It is important to ensure that the award of contracts is in principle linked to the conditions for the implementation of women-promoting conditions. It may also carry out this task, in accordance with separate agreements, for other institutions of the public administration. 3. It shall carry out the tests provided for in the accident prevention rules by its own experts, provided that they have been authorised to do so by the competent authority. 4. It plans and implements the land and, in accordance with separate agreements, also for other institutions of the public administration, the security and rehabilitation of contaminated properties.","(1) Die zum Stichtag am 30. Juni 1999 den Landesbauämtern, der Landesvermögens- und Bauabteilung der Oberfinanzdirektion Kiel sowie der Bauabteilung des Ministeriums für Finanzen und Energie obliegenden Aufgaben gehen am 01. Juli 1999 auf die Anstalt über, soweit sie diese Aufgaben nicht gemäß Absatz 6 als fremde Aufgaben des jeweiligen Rechtsträgers wahrnimmt. Die Anstalt hat insbesondere folgende Aufgaben: 1. Sie erfüllt sämtliche Bauaufgaben des Landes im Sinne des Satzes 1 und nach Maßgabe gesonderter Vereinbarungen auch die des Bundes. 2. Sie übernimmt die Bauplanungs-, Bauüberwachungs-, Bauherren-, Bauunterhaltungs- und damit verbundene Vergabeaufgaben für die Investitionsbank, soweit diese Leistungen Liegenschaften betreffen, die gemäß § 17 Abs. 2 Investitionsbankgesetz (IBG) vom 11. Dezember 1990 (GVOBl. Schl.-H. S. 609), zuletzt geändert durch Gesetz vom 21. Dezember 1998 (GVOBl. Schl.- H. S. 482) vom Land auf die Investitionsbank übertragen oder die von dieser errichtet oder erworben werden bzw. errichtet oder erworben worden sind, um sie dem Land zur Verfügung zu stellen. Nähere Einzelheiten werden vertraglich geregelt. Zudem kann die Anstalt Bauplanungs-, Bauüberwachungs-, Bauherren-, Bauunterhaltungs- und damit verbundene Vergabeaufgaben auch für sonstige Träger der öffentlichen Verwaltung wahrnehmen. 3. Sie nimmt die Interessen des Bundes und des Landes als Träger öffentlicher Belange im Sinne des § 4 des Baugesetzbuches bei Bauleitplanverfahren im Landesbereich wahr. 4. Sie übernimmt die baufachliche Prüfung des Landes bei der Gewährung von Zuwendungen gemäß § 44 der Landeshaushaltsordnung Schleswig-Holstein im Bereich des Bauwesens. Das Nähere regelt die Satzung. (2) Die Anstalt erfüllt, sofern vom Ministerium für Finanzen und Energie nichts Abweichendes bestimmt wird, sämtliche Bauaufgaben - mit Ausnahme der Bauherrenaufgabe - für 1. das Klinikum an der Christian-Albrechts-Universität zu Kiel, 2. das Klinikum an der Medizinischen Universität zu Lübeck, 3. die Stiftung Schleswig-Holsteinische Landesmuseen Schloß Gottorf, die der Anstalt die durch die Erfüllung der Bauaufgaben entstehenden Kosten zu erstatten haben. Die Erfüllung sämtlicher Bauaufgaben endet für die in Satz 1 Nr. 1 und 2 genannten Einrichtungen am 30. Juni 2004, es sei denn, zwischen der Anstalt und dem jeweiligen Klinikum wird eine entsprechende Vereinbarung über die Fortführung dieser Aufgaben geschlossen. Die Erledigung begonnener Maßnahmen ist davon nicht betroffen. (3) Die Anstalt erbringt, sofern im besonderen Einzelfall vom Ministerium für Finanzen und Energie nichts Abweichendes bestimmt wird, folgende Bewirtschaftungsleistungen für das Land mit Ausnahme der Hochschulen und der Justizvollzugsanstalten für die von diesem genutzten Gebäude: 1. Hausmeister-, Hausarbeiterund Haushandwerkertätigkeiten, 2. Reinigungsdienste, 3. Sicherheitsdienste, sofern diese nicht durch Vollzugsbeamte ausgeübt werden, 4. die Pflege der Außenanlagen, 5. Energiemanagement, 6. Ver- und Entsorgung, 7. Betriebsführung von technischen Anlagen, Wartung, Inspektion und Kleinreparaturen. Die Anstalt wird die Aufgaben nach Satz 1 für das Ministerium für Finanzen und Energie und die ihm nachgeordneten Behörden ab dem 01. Oktober 1999, für den Präsidenten des Schleswig-Holsteinischen Landtages ab dem 01. Januar 2000, für die Staatskanzlei sowie alle übrigen Ministerien und die ihnen nachgeordneten Behörden spätestens bis zum 31. Dezember 2000 wahrnehmen. Das Ministerium für Finanzen und Energie wird ermächtigt, durch Rechtsverordnung den Zeitpunkt des Übergangs der Aufgaben nach Satz 1 für die jeweiligen Ressortbereiche zu bestimmen, Einzelheiten regeln das Land und die Anstalt durch einen öffentlich-rechtlichen Rahmenbewirtschaftungsvertrag. Die Ministerien können der Anstalt auch die Wahrnehmung sonstiger Bewirtschaftungsaufgaben, insbesondere folgende Dienstleistungen übertragen: 1. Boten- und Pförtnerdienste, 2. Druckereidienste, 3. Registraturtätigkeiten, 4. Postverwaltungs- und Postabsendungsdienste, 5. Telefonvermittlungsdienste. Nach Maßgabe gesonderter Vereinbarungen kann die Anstalt die in Satz 1 und Satz 5 beschriebenen Tätigkeiten auch gegenüber sonstigen Trägern der öffentlichen Verwaltung wahrnehmen. (4) Unbeschadet der Absätze 1 bis 3 nimmt die Anstalt folgende Aufgaben wahr: 1. Sie koordiniert und deckt den Bedarf des Landes und nach Maß- gabe gesonderter Vereinbarungen auch den Bedarf sonstiger Träger der öffentlichen Verwaltung an Verwaltungsgebäuden und sonstigen Grundstücken und Gebäuden durch Anpachtung und Anmietung und anschließender mietweiser Überlassung zu marktüblichen Bedingungen. Diese Aufgabe kann sie auch durch Kauf oder den Neubau von Gebäuden für fremde Rechnung erfüllen. Soweit das Land Flächen nicht mehr benötigt, kann die Anstalt diese auch an Dritte vermieten oder verpachten. 2. Sie nimmt nach Maßgabe gesonderter Vereinbarungen für sämtliche Landesbehörden die für deren Geschäftsbetrieb notwendigen Beschaffungen im eigenen oder im fremden Namen vor. Dabei ist sicherzustellen, daß die Vergabe von Aufträgen grundsätzlich an die Vertragsbedingung zur Durchführung frauenfördernder Maßgaben gekoppelt wird. Diese Aufgabe kann sie nach Maßgabe gesonderter Vereinbarungen auch für sonstige Träger der öffentlichen Verwaltung ausüben. 3. Sie führt die in den Unfallverhütungsvorschriften vorgesehenen Prüfungen durch eigene Sachverständige durch, sofern diese dazu von der zuständigen Behörde ermächtigt worden sind. 4. Sie plant und führt das Land und nach Maßgabe gesonderter Vereinbarungen auch für sonstige Träger der öffentlichen Verwaltung die Sicherung und Sanierung kontaminierter Liegenschaften durch.",N,low,O|N|S,,
255,ARUNA AYURVEDA UG (haftungsbeschränkt),Advice and application of Indian medicine as well as related activities,Beratung und Anwendung der indischen Heilkunde sowie damit in Zusammhang stehenden Aktivitäten,Q,high,Q|S|M,,
260,BEPABO GmbH,"Establishment and operation as well as the mediation of special figure and wellness studios with affiliated cosmetic areas and physiotherapeutical departments in Germany with focus on the greater area of the Federal City of Bonn, the consulting and distribution of facilities for Studtios Medical and medical practices as well as wellness facilities (including fitness tubes), finally the distribution of senior products and water treatment facilities for use in private households and all the above mentioned premises.","Einrichtung und der Betrieb sowie die Vermittlung von speziellen Figur- und Wellness-Studios mit angeschlossenen Kosmetikbereichen und Physiotherapeutischen Abteilungen in Deutschland mit Schwerpunkt im Grossraum der Bundesstadt Bonn, ferner die Beratung bei und Vertrieb von Einrichtungen für Studtios, Arzt- und Heilpraktikerpraxen sowie Wellnesseinrichtungen (eingeschlossen Fitnesstudios), schliesslich der Vertrieb von Seniorenprodukten und Wasseraufbereitungsanlagen zur Verwendung in privaten Haushalten und sämtlichen vorgenannten Räumlichkeiten.",S,low,Q|M|S,,
